suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,3145728,16.990629
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,4194304,21.761363
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,6291456,78.314011
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,8388608,104.474091
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,16777216,205.612885
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,33554432,417.904277
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,67108864,836.011129
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,134217728,1844.972005
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,201326592,2962.085612
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,268435456,3847.641520
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,402653184,5269.884440
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,536870912,5455.859049
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,1073741824,5523.750488
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,2147483648,5401.753581
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,4294967296,5571.581868
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,1,0.008630
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,8,0.008697
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,64,0.008763
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,512,0.009165
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,4096,0.012824
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,32768,0.041696
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,100000,0.109439
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,262144,0.272817
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,500000,0.512581
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,1000000,1.016569
microbench,empty_kernel,block_size=1024,block_size-1024,num_blocks,2097152,2.122215
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,1,0.008634
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,8,0.008735
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,64,0.008691
